"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","14528000010","45289010000","1904 BURD AV "
"Fenced & Locked or Paved Lot","14532000080","45329080000","2524 CLARA AV "
"Vacant Lot","14528000020","45289020000","1912 BURD AV "
"Fenced & Locked or Paved Lot","14531000480","45319480000","5569 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","14534000690","45349690000","5517 MAFFITT AV "
"Vacant Lot","14520000220","45209220000","3453 ARLINGTON AV "
"Vacant Lot","14524000340","45249340000","2541 SEMPLE AV "
"Northside Regeneration VL","11889000110","18899110000","3017 NORTH MARKET ST "
"Vacant Building","13683000170","36839170000","4222 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","13696000330","36969330000","4331 GARFIELD AV "
"Vacant Lot","13742000240","37429240000","3972 COOK AV "
"Vacant Lot","13746000460","37469460000","4219 FINNEY AV "
"Vacant Lot","13774030400","37749205000","1311 N TAYLOR AV "
"Fenced & Locked or Paved Lot","13805030160","38059085000","1481 BELT AV "
"Vacant Lot","13761060780","37619435000","4570 KENSINGTON PL "
"Vacant Lot","13753000720","37539720000","4041 DELMAR BLVD "
"Vacant Lot","13696000370","36969370000","4355 GARFIELD AV "
"Vacant Lot","14573000430","45739430000","4481 DELMAR BLVD "
"Fenced & Locked or Paved Lot","13400000190","34009190000","5312 CONDE ST "
"Vacant Building","13771000630","37719630000","4809 FOUNTAIN AV "
"Vacant Lot","13774030440","37749225000","4511 PAGE BLVD "
"Vacant Building","13797000210","37979210000","1473 UNION BLVD "
"Vacant Lot","13797000220","37979220000","1469 UNION BLVD "
"Fenced & Locked or Paved Lot","13805030175","38059090000","1479 BELT AV "
"Vacant Lot","13807090210","38079345000","1377 MONTCLAIR AV "
"Vacant Lot","13746000490","37469490000","4227 FINNEY AV "
"Vacant Building","13648000110","36489110000","4010 GREER AV "
"Vacant Lot","13678000170","36789170000","4209 GARFIELD AV "
"Vacant Lot","13657000185","36579185000","4002 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","13669000150","36699150000","4108 LABADIE AV "
"Vacant Building","14600000390","46009390000","6771 WISE AV "
"Vacant Lot","14573000330","45739330000","4439 DELMAR BLVD "
